,Id,Date,Time,Code,Value,Unit,ImageDate,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8a,BAND_9,BAND_11,BAND_12,geometry
0,MEX03286,2018-12-12,12:00,TURB,17.0,NTU,2018-12-13,426.0,573.0,980.0,928.0,729.0,198.0,198.0,161.0,95.0,1.0,61.0,48.0,POINT (-110.72537 29.21483)
1,MEX03299,2018-12-13,12:00,TURB,4.0,NTU,2018-12-13,47.0,108.0,251.0,138.0,93.0,23.0,20.0,16.0,26.0,,55.0,58.0,POINT (-109.6645 29.02708)
2,MEX02176,2018-12-13,12:00,TURB,150.0,NTU,2018-12-14,92.0,325.0,768.0,687.0,1151.0,954.0,941.0,843.0,609.0,59.0,34.0,57.0,POINT (-102.767 23.24269)
3,MEX03300,2018-12-13,12:00,TURB,2.0,NTU,2018-12-13,48.0,102.0,252.0,132.0,79.0,2.0,3.0,5.0,12.0,5.0,40.0,44.0,POINT (-109.663 29.04688)
4,MEX03298,2018-12-13,12:00,TURB,3000.0,NTU,2018-12-13,98.0,152.0,279.0,186.0,147.0,79.0,74.0,77.0,60.0,5.0,73.0,66.0,POINT (-109.65536 29.01551)
5,MEX03296,2018-12-13,12:00,TURB,2.0,NTU,2018-12-13,3.0,37.0,154.0,80.0,41.0,1.0,1.0,2.0,,1.0,33.0,30.0,POINT (-109.64823 28.98886)
6,MEX04029,2018-12-13,12:00,TURB,5.0,NTU,2018-12-13,449.0,419.0,643.0,516.0,932.0,1635.0,1910.0,1999.0,2152.0,2182.0,1444.0,891.0,POINT (-98.33649 26.13853)
7,MEX04029,2018-12-13,12:00,TURB,5.0,NTU,2018-12-13,441.0,413.0,650.0,523.0,956.0,1679.0,1962.0,2049.0,2210.0,2245.0,1484.0,915.0,POINT (-98.33649 26.13853)
8,MEX03297,2018-12-13,12:00,TURB,170.0,NTU,2018-12-13,17.0,75.0,231.0,121.0,73.0,11.0,22.0,16.0,18.0,32.0,60.0,68.0,POINT (-109.66576 29.00928)
9,MEX01727,2018-12-17,12:00,TURB,3.0,NTU,2018-12-18,102.0,123.0,297.0,150.0,192.0,87.0,80.0,33.0,42.0,245.0,94.0,92.0,POINT (-98.75572200000001 20.166944)
10,MEX01179,2018-12-17,12:00,TURB,4.0,NTU,2018-12-18,50.0,96.0,265.0,124.0,167.0,42.0,31.0,4.0,7.0,22.0,55.0,57.0,POINT (-98.75667 20.16492)
11,MEX02186,2018-12-18,12:00,TURB,7.0,NTU,2018-12-18,241.0,235.0,326.0,301.0,466.0,259.0,243.0,198.0,169.0,97.0,90.0,65.0,POINT (-99.05834299999999 19.27117)
12,MEX03764,2018-12-18,12:00,TURB,9.0,NTU,2018-12-17,311.0,493.0,744.0,412.0,421.0,168.0,178.0,156.0,116.0,26.0,80.0,74.0,POINT (-95.4495 16.4791)
13,MEX03763,2018-12-18,12:00,TURB,5.0,NTU,2018-12-17,247.0,426.0,663.0,324.0,333.0,92.0,96.0,67.0,45.0,,21.0,43.0,POINT (-95.4575 16.4899)
14,MEX02184,2018-12-18,12:00,TURB,8.0,NTU,2018-12-18,263.0,254.0,350.0,340.0,515.0,463.0,451.0,448.0,443.0,686.0,254.0,171.0,POINT (-99.063868 19.271862)
15,MEX02182,2018-12-18,12:00,TURB,4.0,NTU,2018-12-18,405.0,379.0,622.0,593.0,1023.0,2167.0,2645.0,2654.0,2902.0,3014.0,1831.0,1064.0,POINT (-99.07943299999999 19.2832)
16,MEX02185,2018-12-18,12:00,TURB,7.0,NTU,2018-12-18,242.0,229.0,327.0,310.0,486.0,332.0,332.0,261.0,276.0,281.0,184.0,125.0,POINT (-99.061922 19.269833)
17,MEX01817,2018-12-18,12:00,TURB,70.0,NTU,2018-12-16,832.0,927.0,1129.0,1301.0,1375.0,1038.0,1068.0,924.0,849.0,795.0,570.0,543.0,POINT (-100.84968 21.87899)
