,ID,DATE,TIME,CODE,VALUE,UNIT,IMAGEDATE,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,geometry
0,MEX02914,2019-01-21,12:00,TURB,6.0,NTU,2019-01-22,222.0,327.0,457.0,363.0,566.0,989.0,1226.0,1244.0,1238.0,504.0,700.0,424.0,POINT (-97.93787 22.38697)
1,MEX02914,2019-01-21,12:00,TURB,6.0,NTU,2019-01-22,252.0,325.0,396.0,289.0,419.0,523.0,552.0,532.0,677.0,471.0,497.0,285.0,POINT (-97.93787 22.38697)
2,MEX02915,2019-01-21,12:00,TURB,11.0,NTU,2019-01-22,248.0,325.0,379.0,267.0,287.0,188.0,208.0,189.0,175.0,185.0,152.0,119.0,POINT (-97.92735999999999 22.38576)
3,MEX01561,2019-01-22,12:00,TURB,13.0,NTU,2019-01-21,1.0,132.0,471.0,211.0,471.0,139.0,155.0,108.0,67.0,1.0,80.0,66.0,POINT (-105.10889 22.03653)
4,MEX02913,2019-01-22,12:00,TURB,40.0,NTU,2019-01-22,429.0,674.0,994.0,769.0,880.0,374.0,396.0,328.0,253.0,235.0,141.0,102.0,POINT (-98.0416 22.3175)
5,MEX02911,2019-01-22,12:00,TURB,60.0,NTU,2019-01-22,606.0,832.0,1100.0,902.0,1011.0,461.0,466.0,392.0,271.0,125.0,90.0,78.0,POINT (-98.14646999999999 22.35219)
6,MEX02912,2019-01-22,12:00,TURB,50.0,NTU,2019-01-22,484.0,722.0,1010.0,786.0,886.0,385.0,392.0,338.0,267.0,143.0,149.0,112.0,POINT (-98.09654 22.29025)
7,MEX01563,2019-01-22,12:00,TURB,13.0,NTU,2019-01-21,131.0,252.0,531.0,411.0,738.0,806.0,915.0,946.0,973.0,1724.0,1175.0,882.0,POINT (-105.10872 22.03943)
8,MEX01562,2019-01-22,12:00,TURB,14.0,NTU,2019-01-21,49.0,141.0,456.0,211.0,464.0,173.0,187.0,142.0,146.0,1763.0,163.0,132.0,POINT (-105.11051 22.03605)
9,MEX01565,2019-01-22,12:00,TURB,12.0,NTU,2019-01-21,45.0,162.0,429.0,252.0,513.0,348.0,413.0,372.0,398.0,960.0,653.0,438.0,POINT (-105.11107 22.04343)
